uuid,category,brand,title,age,classification,content,nutrient,info,gram,calory,ingredient,detail,from_company,성분등록번호,img
0,고양이,뉴로 (NULO),뉴로 프리스타일 그레인프리 인도어 오리&렌틸콩,"키튼,어덜트,시니어,전연령",건사료,"오리, 닭고기, 칠면조, 대구, 완두콩, 렌틸콩, 닭고기지방, 콩섬유질, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조고구마, 건조크랜베리, 탄산칼슘, DL-메티오닌, 타우린 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C 공급원), 철단백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 망간단백질, 피리독신염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12. 요오드산칼슘, 엽산, 로즈마리추출물",조단백 40%  조지방 17%  칼슘 1.1%  인 0.9%  수분 10%,"그레인프리,글루텐프리,비유전자변형,유산균",5.4kg,"3,724 kcal/kg","오리, 닭고기, 칠면조","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 5.4kg 주재료 오리, 닭고기, 칠면조 식단정보 그레인프리,글루텐프리,비유전자변형,유산균 칼로리 3,724 kcal/kg 원산지/제조사 미국/Nulo Inc",미국/Nulo Inc,서울-23093호,https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF08_thumb02.png
1,고양이,게더 (GATHER),프리에이커 치킨 어덜트,"어덜트,시니어",건사료,"유기농 닭고기, 유기농 건조 닭고기, 유기농 완두콩, 렌틸콩, 닭지방, 유기농 아마씨, 천연닭고기향, 블루베리, 크랜베리, 계란껍질분말, 비타민합제(비타민 A, 비타민D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, 티아민 모노니트레이트, d-판토텐산칼슘, 리보플라빈, 염산피리독신, 엽산, 비오틴, 비타민B12), 미량광물질류합제(아연단백질화합분, 철단백질화합분, 구리단백질화합물, 망간단백질화합물, 요오드산칼슘, 아셀렌산나트륨), DL-메티오닌, 타우린, 건조 로즈마리",조단백 29%  조지방 15%  칼슘 1.4%  인 0.6%  수분 10%,"그레인프리,글루텐프리,비유전자변형",1.8kg,"3,664 kcal/kg","유기농 닭, 유기농 완두콩, 렌즈콩","연령구분 어덜트,시니어 푸드타입 건사료 중량 1.8kg 주재료 유기농 닭, 유기농 완두콩, 렌즈콩 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 3,664 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 서울-19594호,https://cdn.purplesto.re/media/store/sale/main_image/gather_cat_B009CF01_thumb01.png
2,고양이,지위픽 (ZIWI),에어드라이 닭고기,"키튼,어덜트,시니어,전연령",저온건조 사료,"닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합, 레시틴, 치커리 이눌린, 건 켈프, 미네랄(제2인산칼륨, 황산마그네슘, 아연아미노산, 구리아미노산, 철아미노산, 망간아미노산, 아셀렌산나트륨), 천일염, 파슬리, 구연산, 혼합토코페롤, 비타민(염화콜린, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), DL-메티오닌, 타우린",조단백 44%  조지방 36%  칼슘 1.81%  인 1.38%  수분 8.0%,"그레인프리,글루텐프리",400g,"5,500 kcal/kg","닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합","연령구분 키튼,어덜트,시니어,전연령 푸드타입 저온건조 사료 중량 400g 주재료 닭고기, 닭 내장(간, 심장) 및 뼈, 뉴질랜드 녹색홍합 식단정보 그레인프리,글루텐프리 칼로리 5,500 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,제 서울-15608호,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_cat_B046CF15_thumb01.png
3,고양이,캣츠파인푸드 (CATZ FINEFOOD),주식파우치 no.15 닭고기와 꿩고기,"어덜트,시니어",습식사료,"닭, 물, 꿩, 쌀, 유채과, 미네랄, 민들레, 달맞이꽃 오일",조단백 8.6%  조지방 4%  칼슘 0.2%  인 0.15%  수분 88%,"검류미함유,비유전자변형",85g,965 kcal/kg,"닭, 물, 꿩","연령구분 어덜트,시니어 푸드타입 습식사료 중량 85g 주재료 닭, 물, 꿩 식단정보 검류미함유,비유전자변형 칼로리 965 kcal/kg 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,GGHA50028호,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF05_thumb01.png
4,고양이,어플라우즈 (APPLAWS),파우치 닭고기와 아스파라거스 ,"키튼,어덜트,시니어,전연령",습식간식,"닭고기(가슴살), 닭육수, 아스파라거스, 쌀",조단백 14.0% 조지방 2.0% 조섬유 0.5% 조회분 1.0% 수분 82.0%,검류미함유,70g,532 kcal/kg (37.24 kcal/파우치),"닭고기(가슴살), 닭육수, 아스파라거스","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 닭고기(가슴살), 닭육수, 아스파라거스 식단정보 검류미함유 칼로리 532 kcal/kg (37.24 kcal/파우치) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-20530호,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT1539ss_thumb01.png
5,고양이,지위픽 (ZIWI),주식캔 양고기,"키튼,어덜트,시니어,전연령",습식사료,"양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈, 병아리콩, 뉴질랜드 녹색홍합, DL-메티오닌, 건 켈프, 미네랄(황산마그네슘, 아연아미노산, 망간아미노산, 구리아미노산), 비타민(비타민 E, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), 타우린",조단백 11%  조지방 8%  칼슘 0.5%  인 0.38%  수분 74.5%,"검류미함유,그레인프리,글루텐프리","85g, 185g","1,325 kcal/kg","양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식사료 중량 85g, 185g 주재료 양고기, 수분, 양 내장(폐, 신장, 간, 트라이프, 심장) 및 뼈 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,325 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,제 Ⅱ 60G0489호,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_cat_B046CF19_thumb01.png
6,고양이,캣츠파인푸드 (CATZ FINEFOOD),주식캔 퓨레 no.109 돼지고기,"어덜트,시니어",습식사료,"돼지고기, 육수, 미네랄(아연, 망간, 요오드), 포도씨오일",조단백 8.3%  조지방 3.9%  칼슘 0.2%  인 0.15%  수분 88%,"검류미함유,그레인프리,글루텐프리,비유전자변형",400g,973 kcal/kg,"돼지고기, 육수, 미네랄(아연, 망간, 요오드)","연령구분 어덜트,시니어 푸드타입 습식사료 중량 400g 주재료 돼지고기, 육수, 미네랄(아연, 망간, 요오드) 식단정보 검류미함유,그레인프리,글루텐프리,비유전자변형 칼로리 973 kcal/kg 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,GGHA50025호,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF21_thumb01.png
7,고양이,알모네이쳐 (ALMO NATURE),HFC 내츄럴 캔 닭고기와 호박,"키튼,어덜트,시니어,전연령",습식간식,"닭고기살(70%), 정제수(24%), 호박(5%), 쌀(1%)",조단백 13.0%  조지방 0.3%  조섬유 0.5%  조회분 1.0%  수분 81.0% ,"단일육류단백질,글루텐프리,비유전자변형",70g,785 kcal/kg (55 kcal/캔),"닭고기살, 정제수, 호박","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 닭고기살, 정제수, 호박 식단정보 단일육류단백질,글루텐프리,비유전자변형 칼로리 785 kcal/kg (55 kcal/캔) 원산지/제조사 태국/HI-Q FOOD PRODUCTS CO.LTD",태국/HI-Q FOOD PRODUCTS CO.LTD,서울-19782호,https://cdn.purplesto.re/media/store/sale/main_image/almonature_cat_B131CT08_thumb01.png
8,고양이,어플라우즈 (APPLAWS), 통살 참치와 가다랑어 육수,"키튼,어덜트,시니어,전연령",습식간식,"가다랑어(참치), 가다랑어육수, 파슬리",조단백 23.0% 조지방 5.0% 조회분 3.0% 수분 73.0%,검류미함유,-,"1,310 kcal/kg (39.3 kcal/파우치)","가다랑어(참치), 가다랑어 육수, 파슬리","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 - 주재료 가다랑어(참치), 가다랑어 육수, 파슬리 식단정보 검류미함유 칼로리 1,310 kcal/kg (39.3 kcal/파우치) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-22071호,https://cdn.purplesto.re/media/store/sale/main_image/applaws_cat_B004CT11_thumb01.png
9,고양이,어딕션 (ADDICTION),LID 사슴고기,"키튼,어덜트,시니어,전연령",건사료,"건조 사슴, 완두콩, 감자, 타피오카, 닭 지방(혼합 토코페롤로 처리), 아마씨, 천연향, 염화나트륨, 건조 켈프, 건조 크린베리, 건조 사과, 건조 시금치, 건조 맥주 효모, 건조 장구균, 건조 락토바실러스 아시도필루스, 건조 비피도박테리움 롱검, 건조 유산균, 비타민E, 니아신(비타민B3), 판토텐산칼슘(비타민B5), 비타민A, 비타민B1 질산염, 리보플라빈, 염산피리독신(비타민B6), 비오틴(비타민B7), 비타민B12, 비타민D3, 폴산(비타민 B9), 타우린, 염화콜린, 황산마그네슘, 황산아연, 황산제일철(철분제), 탄산칼슘, 황산구리, 황산망간, 요오드산칼슘, 황산코발트, 아셀렌산나트륨, 녹차 추출물, 로즈마리 추출물",조단백 30.0%  조지방 15.0%  칼슘 1.2%  인 1.0%  수분 10.0%,"단일육류단백질,그레인프리",9kg,"3,710 kcal/kg","건조 사슴, 완두콩, 감자","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 9kg 주재료 건조 사슴, 완두콩, 감자 식단정보 단일육류단백질,그레인프리 칼로리 3,710 kcal/kg 원산지/제조사 뉴질랜드/Addiction Food Nz Limited",뉴질랜드/Addiction Food Nz Limited,제 서울-19744호,https://cdn.purplesto.re/media/store/sale/main_image/addiction_cat_B029CF01_thumb01.png
10,고양이,고! (GO!),그레인프리 LID 오리,"어덜트,시니어",건사료,"오리, 완두콩, 타피오카, 렌즈콩, 병아리콩, 타우린, 비타민합제(비타민A, D3, E, C 등), 미량광물질류합제(아연, 철, 구리 등)",조단백 31.0%  조지방 15.0%  칼슘 1.0%  인 0.8%  수분 10.0%,"단일육류단백질,그레인프리,글루텐프리",7.2kg,"4,222 kcal/kg","오리, 완두콩, 타피오카","연령구분 어덜트,시니어 푸드타입 건사료 중량 7.2kg 주재료 오리, 완두콩, 타피오카 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 4,222 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 서울-19594호,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF03_thumb01.png
11,고양이,보레알 (BOREAL),주식캔 치킨&치킨간,"어덜트,시니어",습식 사료,"치킨, 치킨 육수, 치킨 간, 완두콩, 강낭콩, 계란, 레시틴, 탄산칼슘, 아마씨, 콜린클로라이드, 생선오일, 일인산나트륨, 식물성오일, 소금, DL-메티오닌, 유카시데게라추출물, 완두콩섬유질, 블루베리, 블랙베리, 사과, 석류, 크랜베리, 타우린, L-아스코르빌-2-폴리포스페이트(비타민C의 공급원), 아연아미노산복합체, 비타민E, 황산제일철, 철아미노산복합체, 황산아연, 니아신, 티아민모노나이트레이트, 구리프로테인산염, 비타민A, 센렌산나트륨, 황산망간, 망간아미노산복합체, D-칼슘판토테네이트, 피리독신염산염, 리보플라빈, 비오틴, 비타민D3, 비타민B12, 요오드산칼슘, 엽산.",조단백 7.2%  조지방 6.3%  칼슘 0.2%  인 0.18%  수분 85%,"검류미함유,그레인프리,글루텐프리","80g, 156g","1,050 kcal/kg","치킨, 치킨육수, 치킨간","연령구분 어덜트,시니어 푸드타입 습식 사료 중량 80g, 156g 주재료 치킨, 치킨육수, 치킨간 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,050 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,제 CCBZZ0008호,https://cdn.purplesto.re/media/store/sale/main_image/boreal_cat_B050CF07_thumb01.png
12,고양이,나우 (NOW),피쉬 어덜트,"어덜트,시니어",건사료,"뼈를 발라낸 송어, 통건조란, 감자,완두콩, 천연맛, 카놀라유, 아마인, 코코넛오일, 뼈를 발라낸 연어, 뼈를 발라낸 청어, 탄산칼슘, 토마토, 알팔파, 사과, 당근, 고구마, 호박, 바나나, 블루베리, 크랜베리, 블랙베리, 석류, 파파야, 렌즈콩, 브로콜리, 말린 치커리뿌리, 인산, 염화나트륨, 염화칼륨, 염화콜린, 비타민합제(A, D3, E, C, B12 등), 미광량물질류합제(아연, 철, 구리 등), L-리진, L-카르티닌",조단백 30.0%  조지방 19.0%  칼슘 0.9%  인 0.5%  수분 10.0%,"그레인프리,글루텐프리","3.6kg, 100g, 7.2kg, 1.8kg","3,988 kcal/kg","뼈를 발라낸 송어, 통건조란, 감자","연령구분 어덜트,시니어 푸드타입 건사료 중량 3.6kg, 100g, 7.2kg, 1.8kg 주재료 뼈를 발라낸 송어, 통건조란, 감자 식단정보 그레인프리,글루텐프리 칼로리 3,988 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 서울-22065호,https://cdn.purplesto.re/media/store/sale/main_image/now_cat_B012CF04_thumb01.png
13,고양이,뉴로 (NULO),뉴로 프리스타일 그레인프리 헤어볼 칠면조&대구,"키튼,어덜트,시니어,전연령",건사료,"칠면조, 닭고기, 대구, 병아리콩, 녹색렌틸콩, 억새풀, 닭고기 지방, 연어, 천연향, 아마씨, 연어오일, 염화콜린, 건조치커리뿌리, 탄산칼슘, DL-메티오닌, 건조크랜베리, 건조켈프, 건조고구마, 비타민E, 유카시데게라추출물, L-카르니틴, 타우린, 아연단백질, 니아신, 황산아연, 철단백질, L-아스코르빌-2-폴리포스페이트(비타민C 공급원), 산화망간, 비타민A, 티아민모노니트레 이트, 판토센산칼슘, 구리단백질, 황산구리, 망간단백질, 리보플라빈, 피리독신염산염, 비오틴, 건조 바실러스발효균, 비타민B12, 산화망간, 비타민D3, 엽산, 소디움셀레나이트, 요오드산칼슘, 로즈마리추출물",조단백 40%  조지방 16%  칼슘 1.3%  인 0.9%  수분 10%,"그레인프리,글루텐프리,비유전자변형,유산균",2.2kg,"3,551 kcal/kg","칠면조, 닭고기, 대구","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 2.2kg 주재료 칠면조, 닭고기, 대구 식단정보 그레인프리,글루텐프리,비유전자변형,유산균 칼로리 3,551 kcal/kg 원산지/제조사 미국/Nulo Inc",미국/Nulo Inc,서울-23093호,https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF10_thumb02.png
14,고양이,오픈팜 (OPENFARM),연어 ,"키튼,어덜트,시니어,전연령",건사료,"연어, 흰살생선분말, 청어분말, 병아리콩, 렌즈콩(레드), 코코넛오일(혼합토코페롤 보존), 청어오일(혼합토코페롤 보존), 호박, 천연향료(건조흰살생선), 렌즈콩(그린), 연어오일, 크랜베리, 치커리뿌리, 사과, 민들레잎, 염화콜린, 소금, 강황, 유카추출물, 염화칼륨, 혼합토코페롤(천연보존제), 탄산칼슘, 아연단백질화합물, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 아셀렌산나트륨, 요오드산칼슘, 비타민E, 비타민B1질산염, 나이아신, 판토텐산, 비오틴, 비타민A아세테이트, 비타민B2, 비타민B12, 비타민D3, 엽산, 타우린, 로즈마리",조단백 41.0%  조지방 20.0%  칼슘 1.58%  인 1.2%  수분 8%,"그레인프리,글루텐프리",57g (샘플),"3,840 kcal/kg","연어, 흰살생선분말, 청어분말","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 57g (샘플) 주재료 연어, 흰살생선분말, 청어분말 식단정보 그레인프리,글루텐프리 칼로리 3,840 kcal/kg 원산지/제조사 미국/Open Farm Inc.",미국/Open Farm Inc.,CCC020024호,https://cdn.purplesto.re/media/store/sale/main_image/openfarm_cat_B123CF12_thumb01.png
15,고양이,헤일로 (HALO),키튼 레시피 그레인프리 연어&흰살생선,"키튼,어덜트,시니어,전연령",건사료,"연어, 흰살생선, 전란, 완두콩분말, 타피오카전분, 콩단백질, 감자단백질, 계유, 천연고형향미제(가수분해 가금류간, 효모(사카로미세스세레비시아)), 아마씨, 황산칼슘, 제이인산칼슘, 프로바이오틱(효모(사카로미세스세레비시아), 바실러스코아글란스), 건조블루베리, 건조당근, 고구마분말, 건조크랜베리, 소금, 이눌린, 비타민제합제(비타민A, 비타민D3, 비타민E, 비타민B12, 비오틴, 엽산, 니코틴산, 판토텐산, 피리독신, 리보플라빈, 티아민), 미량광물질류합제(아연, 철, 염화칼륨, 구리, 망간, 아셀렌산나트륨, 미네랄오일, 요오드산칼슘), 타우린, 염화칼륨, 비타민E, 천연산화방지제(d-토코페롤(혼합형), 로즈마리추출물), 염화콜린, 비타민C",조단백 33.0% ) 조지방 19.0%  칼슘 1.0%  인 0.8%  수분 10.0%,"그레인프리,글루텐프리,비유전자변형","2.7kg, 1.3kg","3,870 kcal/kg","연어, 흰살생선, 전란","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 2.7kg, 1.3kg 주재료 연어, 흰살생선, 전란 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 3,870 kcal/kg 원산지/제조사 미국/Halo pet",미국/Halo pet,,https://cdn.purplesto.re/media/store/sale/main_image/halo_cat_B044CF01_thumb01.png
16,고양이,뉴로 (NULO),뉴로 프리스타일 그레인프리 어덜트 연어&렌틸콩,"키튼,어덜트,시니어,전연령",건사료,"연어, 칠면조, 닭고기, 대구, 완두콩, 렌틸콩, 닭고기지방, 콩섬유질, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조크렌베리, 건조고구마, 탄산칼슘, DL-메티오닌, L-카르니틴, 타우린, 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C 공급원) 철단백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 산화망간, 피리독신염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12 요오드산칼슘, 엽산, 로즈마리추출물",조단백 42%  조지방 12%  칼슘 1.3%  인 0.9%  수분 10%,"그레인프리,글루텐프리,비유전자변형,유산균",2.2kg,"3,724 kcal/kg","연어, 칠면조, 닭고기","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 2.2kg 주재료 연어, 칠면조, 닭고기 식단정보 그레인프리,글루텐프리,비유전자변형,유산균 칼로리 3,724 kcal/kg 원산지/제조사 미국/Nulo Inc",미국/Nulo Inc,서울-23093호,https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF09_thumb02.png
17,고양이,앱솔루트 홀리스틱 (ABSOLUTE HOLISTIC),에어드라이 닭고기&호키,"어덜트,시니어",저온건조 사료,"닭고기, 남방대구(호키), 닭 간, 식물성 글리세린, 파슬리, 건조 치커리, 초록입홍합, 염화콜린, 탄산칼슘, 켈프, 아마씨, 천연항산화제(천연혼합토코페롤, 로즈마리 추출물), 타우린, 황산제일철, 산화아연, 비타민E, 나이아신, 황산구리, 비타민B1, 아셀렌산나트륨, 황산망간, D 판토텐산칼슘, 비타민A 분말(레티놀분말), 비타민B2(리보플라빈), 비오틴, 비타민B6염산염(피리독신 염산염), 비타민B12(시아노토발라민), 요오드산 칼슘, 엽산, 비타민D3(콜레칼시페롤)",조단백 31%  조지방 25%  칼슘 1%  인 0.5%  수분 19%,"그레인프리,글루텐프리",50g,"4,447 kcal/kg","닭고기, 남방대구(호키), 닭 간","연령구분 어덜트,시니어 푸드타입 저온건조 사료 중량 50g 주재료 닭고기, 남방대구(호키), 닭 간 식단정보 그레인프리,글루텐프리 칼로리 4,447 kcal/kg 원산지/제조사 뉴질랜드/Absolute Pets International Pte, Ltd.","뉴질랜드/Absolute Pets International Pte, Ltd.",제 CCBZZ0008호,https://cdn.purplesto.re/media/store/sale/main_image/absoluteholistic_cat_B103CF06_thumb02.png
18,고양이,로우즈 사시 (RAWZ SASHI),참치&고등어,"키튼,어덜트,시니어,전연령",습식간식,"참치, 생선 육수, 고등어, 타피오카 전분",조단백 12%  조지방 0.45%  조섬유 0.5%  조회분 0.9%  수분 87% ,"그레인프리,글루텐프리,음수량충전",50g,520 kcal/kg (26 kcal/파우치),"참치, 생선 육수, 고등어","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 50g 주재료 참치, 생선 육수, 고등어 식단정보 그레인프리,글루텐프리,음수량충전 칼로리 520 kcal/kg (26 kcal/파우치) 원산지/제조사 태국/Rawz Natural Pet Food",태국/Rawz Natural Pet Food,제 VVHDR0030호,https://cdn.purplesto.re/media/store/sale/main_image/rawssashi_cat_B133CT02_thumb01.png
19,고양이,어플라우즈 (APPLAWS),이지필 참치와 게살 ,"키튼,어덜트,시니어,전연령",습식간식,"가다랑어(참치과) 흰살, 가다랑어 육수, 쌀, 게살",조단백 16.0% 조지방 2.0% 조섬유 0.5% 조회분 1.5% 수분 81.0%,검류미함유,60g,740 kcal/kg (44.4 kcal/컵),"가다랑어(참치), 가다랑어 육수, 쌀, 게살","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 60g 주재료 가다랑어(참치), 가다랑어 육수, 쌀, 게살 식단정보 검류미함유 칼로리 740 kcal/kg (44.4 kcal/컵) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-22067호,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT0529ss_thumb01_u8gqPX7.png
20,고양이,고! (GO!),솔루션 LID 오리,"키튼,어덜트,시니어,전연령",건사료,"뼈를 발라낸 오리, 오리분말, 건조 계란, 완두콩, 완두분말, 타피오카, 렌틸콩, 병아리콩, 닭고기지방, 아마씨, 천연향, 염화나트륨, 염화콜린, 탄산칼슘, 건조 치커리뿌리, 인산, 염화칼륨, 비타민합제(비타민A, 비타민 D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, 티아민 모노니트레이트, d-판토텐산칼슘, 리보플라빈, 염산 피리독신, 베타카로틴, 엽산, 비오틴, 비타민 B12), 미량광물질류합제(아연단백질화합물, 철단백질 화합물, 구리 단백질화합물, 산화아연, 망간단백질화합물, 황산동, 요오드산칼슘, 황산제일철, 산화망간, 아셀렌산나트륨), 타우린, 건조 로즈마리",조단백 32%  조지방 17%  칼슘 1.1%  인 0.9%  수분 8%,"그레인프리,글루텐프리",1.3kg,"4,222 kcal/kg","뼈를 발라낸 오리, 오리분말, 건조 계란","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 1.3kg 주재료 뼈를 발라낸 오리, 오리분말, 건조 계란 식단정보 그레인프리,글루텐프리 칼로리 4,222 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 ZZR0Y0024호,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF12_thumb02.png
21,고양이,로투스 (LOTUS),그레인프리 저스트 쥬시 포크 스튜,"키튼,어덜트,시니어,전연령",습식사료,"돼지 고기, 돼지 스프, 당근, 감자 전분, 제1인산염, 탄산 칼슘, 소금, 올리브 오일, 연어 오일, 해바라기 오일, 한천, 염화 칼륨, 염화 콜린, 타우린, 아연, 철, 비타민E, 니아신, 망간, 티아민, 구리, 판토텐산 칼슘, 리보플라빈, 비타민A, 피리독신, 비타민B12, 비오틴, 요오드화칼륨, 엽산, 비타민D3, 아셀렌산나트륨",조단백 15.13%  조지방 3.64%  칼슘 0.25%  인 0.25%  수분 77.84%,"단일육류단백질,그레인프리,비유전자변형",150g,897 kcal/kg,"돼지고기, 돼지 스프, 당근","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식사료 중량 150g 주재료 돼지고기, 돼지 스프, 당근 식단정보 단일육류단백질,그레인프리,비유전자변형 칼로리 897 kcal/kg 원산지/제조사 미국/Lotus Pet Foods",미국/Lotus Pet Foods,제 VVHDR0017호,https://cdn.purplesto.re/media/store/sale/main_image/lotus_cat_B020CF01_thumb01.png
22,고양이,어플라우즈 (APPLAWS), 이지필 통살참치와 새우,"키튼,어덜트,시니어,전연령",습식간식,"가다랑어(참치과) 흰살, 가다랑어 육수, 쌀, 새우",조단백 15.5% 조지방 2.0% 조섬유 0.5% 조회분 1.5% 수분 81.0%,검류미함유,-,750 kcal/kg (45 kcal/컵),"가다랑어(참치과) 흰살, 가다랑어 육수, 쌀","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 - 주재료 가다랑어(참치과) 흰살, 가다랑어 육수, 쌀 식단정보 검류미함유 칼로리 750 kcal/kg (45 kcal/컵) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-22066호,https://cdn.purplesto.re/media/store/sale/main_image/applaws_cat_B004CT07_thumb01_dSKaQXb.png
23,고양이,K9 내추럴 (K9 NATURAL),피스트 캔 양고기,"어덜트,시니어",습식사료,"양고기, 양의 내장, 양의 심장, 양의 신장, 양의 비장, 양의 간, 양의 피, 양의 뼈, 뉴질랜드 녹색 입 홍합, 호키 오일, 비타민E, 산화 마그네슘, 아연, 구리, 망간",조단백 8.0%  조지방 8.0%  칼슘 0.34%  인 0.29%  수분 82%,"그레인프리,글루텐프리,비유전자변형",85g,"1,211 kcal/kg (103 kcal/캔)","양고기, 양의 내장, 양의 심장","연령구분 어덜트,시니어 푸드타입 습식사료 중량 85g 주재료 양고기, 양의 내장, 양의 심장 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 1,211 kcal/kg (103 kcal/캔) 원산지/제조사 뉴질랜드/K9 Natural Foods Limited",뉴질랜드/K9 Natural Foods Limited,제 II6TM0009호,https://cdn.purplesto.re/media/store/sale/main_image/k9natural_cat_B008CF17_thumb01.png
24,고양이,알모네이쳐 (ALMO NATURE),HFC 내츄럴 캔 참치와 뱅어,"키튼,어덜트,시니어,전연령",습식간식,"참치살(70%), 정제수(24%), 뱅어(5%), 쌀(1%)",조단백 16.0%  조지방 0.5%  조섬유 0.1%  조회분 1.0%  수분 83.0% ,"글루텐프리,비유전자변형",70g,960 kcal/kg (67 kcal/캔),"참치살, 정제수, 뱅어","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 참치살, 정제수, 뱅어 식단정보 글루텐프리,비유전자변형 칼로리 960 kcal/kg (67 kcal/캔) 원산지/제조사 태국/HI-Q FOOD PRODUCTS CO.LTD",태국/HI-Q FOOD PRODUCTS CO.LTD,서울-18780호,https://cdn.purplesto.re/media/store/sale/main_image/almonature_cat_B131CT13_thumb01.png
